time;Bratislava;Dunajska Streda;Banska Bystrica;Banska Stiavnica;Budmerice;Dolna Strehova;Giraltovce;Golianovo;Horne Dubove;Hrabovka;Hronovce;Humenne;Hviezdoslavov;Ilava;Jakubovany;Kapisova;Kocovce;Kostoliste;Kosice;Liptovsky Mikulas;Lubina;Malacky;Martin;Michalovce;Moravske Lieskove;Nedasovce;Nitra;Nova Dubnica;Nove Mesto nad Vahom;Nove Zamky;Ohrady;Partizanske;Pezinok;Poprad;Povazska Bystrica;Presov;Pribovce;Revuca;Rovinka;Ruzomberok;Senec;Senica;Skacany;Slavosovce;Sobrance;Spisska Bela;Spisska Nova Ves;Sucha nad Parnou;Samorin;Sturovo;Terchova;Trencianska Turna;Trencianske Teplice;Trencin;Trnava;Velke Rovne;Velke Uherce;Velky Krtis;Velky Meder;Vrable;Vysoka pri Morave;Zilina;Male Vozokany;Zlate Moravce;Topolcany;Cadca;PiesÑany;Zvolen;
2020-03-23 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020-03-24 00:00:05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020-03-25 00:00:03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
